ccode,name,isic3rev2,isicnames,ID_elast,ID_elast_se
"BEL","BELGIUM","355","Rubber products",-1.019683,.0312827
"BEL","BELGIUM","356","Plastic products",-.9981307,.0297435
"BEL","BELGIUM","361","Pottery  china  earthenware",-.9329734,.1122173
"BEL","BELGIUM","362","Glass and products",-1.005746,.0036553
"BEL","BELGIUM","369","Other non-metallic mineral products",-.8762081,.18947
"BEL","BELGIUM","371","Iron and steel",-1.019526,.0094204
"BEL","BELGIUM","372","Non-ferrous metals",-1.017178,.0051313
"BEL","BELGIUM","381","Fabricated metal products",-1.003852,.0198132
"BEL","BELGIUM","382","Machinery  except electrical",-1.048317,.0205984
"BEL","BELGIUM","383","Machinery  electric",-1.311944,.3283884
"BEL","BELGIUM","384","Transport equipment",-1.089525,.0058183
"BEL","BELGIUM","385","Professional and scientific equipment",-1.005263,.005056
"BEL","BELGIUM","390","Other manufactured products",-1.056821,.003611
"BEN","BENIN","311","Food products",-1.063818,.0134202
"BEN","BENIN","313","Beverages",-1.152734,.0826131
"BEN","BENIN","314","Tobacco",-1.003204,.0214671
"BEN","BENIN","321","Textiles",-1.101797,.0620336
"BEN","BENIN","322","Wearing apparel  except footwear",-.953209,.2153513
"BEN","BENIN","323","Leather products",-1.134403,1.101831
"BEN","BENIN","324","Footwear  except rubber or plastic",-.3249905,.9908364
"BEN","BENIN","331","Wood products  except furniture",-.1754578,.8932712
"BEN","BENIN","332","Furniture  except metal",-.9969232,.0237308
"BEN","BENIN","341","Paper and products",-1.269121,.2019495
"BEN","BENIN","342","Printing and publishing",-1.098999,.2003122
"BEN","BENIN","351","Industrial chemicals",-1.018251,.0093917
"BEN","BENIN","352","Other chemicals",-1.009653,.0086347
"BEN","BENIN","353","Petroleum refineries",-.7944291,.3185125
"BEN","BENIN","354","Miscellaneous petroleum and coal products",-1.011312,.036835
"BEN","BENIN","355","Rubber products",-1.022129,.0407165
"BEN","BENIN","356","Plastic products",-.9561415,.1208793
"BEN","BENIN","361","Pottery  china  earthenware",-.8180789,.298522
"BEN","BENIN","362","Glass and products",-1.008942,.0141766
"BEN","BENIN","369","Other non-metallic mineral products",-.9723595,.0605255
"BEN","BENIN","371","Iron and steel",-1.005052,.0356199
"BEN","BENIN","372","Non-ferrous metals",-1.055527,.2018781
"BEN","BENIN","381","Fabricated metal products",-.9685151,.0569742
"BEN","BENIN","382","Machinery  except electrical",-.9520307,.0777727
"BEN","BENIN","383","Machinery  electric",-1.774525,.9747715
"BEN","BENIN","384","Transport equipment",-1.003326,.011622
"BEN","BENIN","385","Professional and scientific equipment",-.9576705,.0263963
"BEN","BENIN","390","Other manufactured products",-1.161807,.1687279
"BFA","BURKINA FASO","311","Food products",-1.056423,.0200158
"BFA","BURKINA FASO","313","Beverages",-1.21591,.1190649
"BFA","BURKINA FASO","314","Tobacco",-1.002021,.01411
"BFA","BURKINA FASO","321","Textiles",-1.370819,.2998162
"BFA","BURKINA FASO","322","Wearing apparel  except footwear",-.8871548,.5030761
"BFA","BURKINA FASO","323","Leather products",-1.177266,1.37993
"BFA","BURKINA FASO","324","Footwear  except rubber or plastic",-.1649828,1.213291
"BFA","BURKINA FASO","331","Wood products  except furniture",-.7104316,.3099883
"BFA","BURKINA FASO","332","Furniture  except metal",-.9982635,.017021
"BFA","BURKINA FASO","341","Paper and products",-1.217188,.1643599
"BFA","BURKINA FASO","342","Printing and publishing",-1.100237,.2031109
"BFA","BURKINA FASO","351","Industrial chemicals",-1.022162,.0070658
"BFA","BURKINA FASO","352","Other chemicals",-1.00895,.0089098
"BFA","BURKINA FASO","353","Petroleum refineries",-.8155449,.2903695
"BFA","BURKINA FASO","354","Miscellaneous petroleum and coal products",-1.008292,.0268693
"BFA","BURKINA FASO","355","Rubber products",-1.0281,.0571585
