ccode,year,isic,imp_tv,imp_q,imp_uv,exp_tv,exp_q,exp_uv,mir_imp_tv,mir_imp_q,mir_imp_uv,mir_exp_tv,mir_exp_q,mir_exp_uv,ntb_core_s,ntb_core_w,ave_core_sim,ave_core_wgt,tar_savg_ahs,tar_iwahs,tar_savg_mfn,tar_iwmfn,tar_hs_lines,name,isicnames,ID_elast,ID_elast_se,ccode_isic,ccode_year,ind_prod_index,n_establ,n_employees,n_female_emp,wage_bill,output,gdp_c2000,gdp_current,gdp_pcppp_c2000,gdp_pcppp_current,pop,tau_imput,tau,tauhat,inv_imp_pen,inv_imp_pen_elast,alpha,X,Y,X2,Y2,net_imp_tv
ROM,1999,382,1334097.0,1628e5,8.13635,539568.0,1643e5,3.247763,1329947.0,1295e5,9.341152,545578.4,1384e5,3.337045,1.0493827,1.0143116,1.0081595,1.0020687,1.0582,1.0484,1.1332,1.1127,1057,ROMANIA,Machinery  except electrical,-1.00184,0.0373971,ROM-382,ROM-1999,57.0,1271.0,182400.0,15679290.918550234,0.101,1189482.0,368e8,356e8,5948.949,5822.038,132738173.05221036,0,1.0504687,0.04804398265269581,0.8916008356213978,0.8899633031436135,0.0013741337235992843,0.04813238358077679,0.04291487342107023,-0.048198614922973206,-0.04297392534111688,794529.0
ROM,1999,383,1043065.0,81047070.0,12.36178,401673.0,63084030.0,6.14352,919480.6,1543e5,14.62477,403752.2,96420766.0,4.979576,1.0,1.0,1.0,1.0,1.0671,1.0417,1.1295,1.0929,673,ROMANIA,Machinery  electric,-1.550218,0.6214599,ROM-383,ROM-1999,96.0,947.0,54840.629610056254,19134.44736631197,48897.23372903908,827910.8,368e8,356e8,5948.949,5822.038,19212646.79824931,0,1.0417,0.04003071901699152,0.7937288663697852,0.5120111277057712,0.0028544026331162983,0.06205634117308255,0.04925590933036744,-0.062233982015216106,-0.04939690799461508,641392.0
ROM,1999,384,331797.0,4004e5,0.8076928,519037.0,1231e6,0.4210235,570358.3,83131305.0,6.472111,410267.2,2617e5,1.243621,1.008547,1.000244,1.0015066,1.0003689,1.1392,1.1551,1.2196,1.2423,326,ROMANIA,Transport equipment,-0.9977865,0.0139716,ROM-384,ROM-1999,153.0,471.0,146300.0,1095637.9334969013,0.108,1467397.0,368e8,356e8,5948.949,5822.038,198959176.96321738,0,1.1554689,0.13455048422333135,4.422574646545931,4.432385732364519,7.353267249745773e-4,0.13425265672650305,0.5937423958700664,-0.13435144893744577,-0.5941793117974579,-187240.0
ROM,1999,385,222159.0,8868888.0,18.91128,23921.0,3078935.0,6.761429,173921.2,9892460.0,24.22858,32471.19,2825023.0,11.89564,1.0163934,1.0244085,1.0001283,1.0002215,1.0508,1.0378,1.1169,1.0884,352,ROMANIA,Professional and scientific equipment,-0.9831551,0.0134124,ROM-385,ROM-1999,95.0,372.0,11700.0,1769208.242280451,0.104,112982.8,368e8,356e8,5948.949,5822.038,75079677.69899067,0,1.0380215000000002,0.03662881741852182,0.5085672873932634,0.5172808312678878,1.5583444626530792e-4,0.0360118086519886,0.018314427840267097,-0.03601742140690941,-0.018317282303811976,198238.0
ROM,1999,390,150798.0,21036187.0,5.995811,59211.0,13256704.0,4.131645,132790.2,1503e5,7.650779,73167.19,11585911.0,3.776043,1.0144928,1.0023203,1.0095824,1.0000318,1.0799,1.0633,1.1736,1.1412,259,ROMANIA,Other manufactured products,-1.058094,0.0567532,ROM-390,ROM-1999,148.0,1316.0,21178.679129863154,1328.700438303179,50796.37667479459,138503.9,368e8,356e8,5948.949,5822.038,17709707.25352984,0,1.0633317999999998,0.05955977240594125,0.9184730566718391,0.8680448586532378,0.001195879684891002,0.063019837824092,0.05788202307725736,-0.06309529220224894,-0.05795132589060244,91587.0
RUS,1997,311,7917371.0,1247e7,0.6089513,800628.7,8244e5,0.92427,114e5,1124e7,0.9373823,750607.9,7609e5,0.9836611,1.0,1.0,1.0,1.0,1.1397,1.1348,1.1276,1.1349,1277,RUSSIAN FED,Food products,-1.061744,0.0379087,RUS-311,RUS-1997,86.0,3175.0,1380300.0,328084.4032728721,2968544.0,285e5,234e9,405e9,6288.697,6000.21,147772805.0,0,1.1348,0.11878745153330986,3.5996797421770435,3.390346206031815,0.00934069025758833,0.1261218639407825,0.45399831867324414,-0.1273110369028646,-0.4582789604947957,7116742.3
RUS,1997,313,1016401.0,1248e6,0.8145725,103453.1,4111e6,0.0251645,736188.8,1753e6,0.4181224,105375.5,237e8,0.0044315,1.0,1.0,1.0,1.0,1.0787,1.0348,1.0582,1.0347,176,RUSSIAN FED,Beverages,-1.310029,0.1697186,RUS-313,RUS-1997,86.0,1938.0,173800.0,94223.2028385162,463134.4,4065288.0,234e9,405e9,6288.697,6000.21,147772805.0,0,1.0348,0.0336296868960185,3.9996890990858924,3.053130197183339,0.0011761298027739271,0.04405586509470426,0.17620976337008729,-0.0441077415240437,-0.17641725295901578,912947.9
RUS,1997,314,787588.8,1106e5,7.121326,8824.666,2418721.0,3.648484,979655.6,122e6,9.059439,2860.437,41776149.0,2.526596,1.0,1.0,1.0,1.0,1.2707,1.2918,1.2833,1.2918,10,RUSSIAN FED,Tobacco,-1.000699,0.0261922,RUS-314,RUS-1997,122.0,47.0,16600.0,931.932659507351,78280.77,1004870.0,234e9,405e9,6288.697,6000.21,147772805.0,0,1.2918,0.2258863601176653,1.275881525994275,1.2749903077691445,1.1233460716943148e-4,0.2260442546833875,0.288405688607679,-0.22606965012872768,-0.28843809018723293,778764.1340000001
RUS,1997,321,771590.9,4299e5,1.794701,415664.7,7479e5,0.5557916,1307828.0,3293e5,4.129956,356869.9,5592e5,0.6306866,1.0,1.0,1.0,1.0,1.165,1.1439,1.1482999999999999,1.1441,934,RUSSIAN FED,Textiles,-1.968185,0.8027547,RUS-321,RUS-1997,68.0,3872.0,452400.0,119776.94094371407,504936.0,2314329.0,234e9,405e9,6288.697,6000.21,147772805.0,0,1.1439,0.12579770958999906,2.999424954337849,1.5239547879583724,0.003061456402617518,0.24759316504939224,0.7426371177726369,-0.24835348842664848,-0.7449176506837456,355926.2
RUS,1997,322,352969.2,75021306.0,4.704919,165262.8,11336445.0,14.57801,2480667.0,3295e5,16.80892,165714.9,22301990.0,7.354179,1.0,1.0,1.0,1.0,1.2656,1.2429000000000001,1.268,1.2423,410,RUSSIAN FED,Wearing apparel  except footwear,-0.8284564,0.7541389,RUS-322,RUS-1997,75.0,12592.0,388100.0,249959.4154869496,331286.8,1320350.0,234e9,405e9,6288.697,6000.21,147772805.0,0,1.2429000000000001,0.1954300426422078,3.7406946555110188,4.5152583232032715,0.0026263289784612264,0.16190526957921,0.6056381766140216,-0.16233160577958905,-0.6072329701602304,187706.40000000002
